item_title,short_description,long_description,item_product_type
Levi's Graphic Print Top,Lightweight crew neck with organic cotton fabric.,"Levi's Graphic Print Top made from organic cotton, featuring lightweight properties, crew neck design, and suitable for men's sizes.",T-shirts
GAP Retro Logo Polo Shirt,Lightweight v-neck with silk fabric.,"GAP Retro Logo Polo Shirt made from silk, featuring lightweight properties, v-neck design, and suitable for women's sizes.",T-shirts
Champion Graphic Print Top,Moisture-wicking tank top with polyester fabric.,"Champion Graphic Print Top made from polyester, featuring moisture-wicking properties, tank top design, and suitable for men's big & tall sizes.",T-shirts
Nike AIRism Ultra Light Tee,Reinforced seams tank top with cotton fabric.,"Nike AIRism Ultra Light Tee made from cotton, featuring reinforced seams properties, tank top design, and suitable for women's sizes.",T-shirts
Champion Graphic Print Crew Neck Tee,Durable stitching henley with bamboo fabric.,"Champion Graphic Print Crew Neck Tee made from bamboo, featuring durable stitching properties, henley design, and suitable for women's plus sizes.",T-shirts
Under Armour Classic Fit Crew Neck Tee,Reinforced seams polo with organic cotton fabric.,"Under Armour Classic Fit Crew Neck Tee made from organic cotton, featuring reinforced seams properties, polo design, and suitable for women's sizes.",T-shirts
Adidas Minimalist Crew Crew Neck Tee,Soft fabric crew neck with blend fabric.,"Adidas Minimalist Crew Crew Neck Tee made from blend, featuring soft fabric properties, crew neck design, and suitable for men's sizes.",T-shirts
Reebok Graphic Print Crew Neck Tee,Moisture-wicking v-neck with polyester fabric.,"Reebok Graphic Print Crew Neck Tee made from polyester, featuring moisture-wicking properties, v-neck design, and suitable for men's big & tall sizes.",T-shirts
Puma Essentials Crew Top,Soft fabric polo with polyester fabric.,"Puma Essentials Crew Top made from polyester, featuring soft fabric properties, polo design, and suitable for unisex sizes.",T-shirts
GAP Sustainable Organic Tee,Moisture-wicking polo with blend fabric.,"GAP Sustainable Organic Tee made from blend, featuring moisture-wicking properties, polo design, and suitable for men's big & tall sizes.",T-shirts
Champion AIRism Ultra Light Crew Neck Tee,Lightweight polo with organic cotton fabric.,"Champion AIRism Ultra Light Crew Neck Tee made from organic cotton, featuring lightweight properties, polo design, and suitable for men's sizes.",T-shirts
Nike Essentials Crew Top,Eco-friendly polo with silk fabric.,"Nike Essentials Crew Top made from silk, featuring eco-friendly properties, polo design, and suitable for women's sizes.",T-shirts
Uniqlo AIRism Ultra Light Top,Quick-drying v-neck with wool fabric.,"Uniqlo AIRism Ultra Light Top made from wool, featuring quick-drying properties, v-neck design, and suitable for unisex sizes.",T-shirts
Levi's Slim Fit V-Neck Shirt,Reinforced seams polo with wool fabric.,"Levi's Slim Fit V-Neck Shirt made from wool, featuring reinforced seams properties, polo design, and suitable for women's sizes.",T-shirts
ASICS Retro Logo Tee,Breathable henley with linen fabric.,"ASICS Retro Logo Tee made from linen, featuring breathable properties, henley design, and suitable for women's sizes.",T-shirts
