prompt,task
"Extract the color and size from the following product description: 'Men's T-Shirt, Blue, Size Medium'.","attribute_extraction"
"Identify the brand and model number from this SKU: 'Sony WH-1000XM4 Wireless Noise-Canceling Over-Ear Headphones'.","attribute_extraction"
"From the product title 'Apple iPhone 13 Pro Max (128GB, Graphite)', extract the storage capacity and color.","attribute_extraction"
"Extract the material and dimensions from: 'Ikea LACK Coffee Table, Black, 55x55 cm'.","attribute_extraction"
"Identify the product type and flavor from 'Nestlé KitKat Chunky Milk Chocolate Bar 40g'.","attribute_extraction"
"From the following description, extract the voltage and wattage: 'Philips Hair Dryer HP8100/46, 1000 Watts, 220V'.","attribute_extraction"
"Extract the pack size and scent from 'Dove Soap Bar, Pack of 4, Cucumber and Green Tea Scent'.","attribute_extraction"
"Identify the screen size and resolution from 'Samsung 32-inch 4K UHD Monitor (LU32J590UQNXZA)'.","attribute_extraction"
"From the product name 'Dell XPS 13 Laptop, Intel Core i7, 16GB RAM, 512GB SSD', extract the processor type and storage capacity.","attribute_extraction"
"Extract the compatible devices and connectivity type from 'Logitech MX Master 3 Wireless Mouse, Bluetooth and USB Receiver, PC and Mac Compatible'.","attribute_extraction"
"Identify the battery capacity and operating system from 'Samsung Galaxy S21 Ultra 5G, 128GB, Phantom Black, Android 11'.","attribute_extraction"
"Extract the type of cheese and weight from 'Kraft Cheddar Cheese Block, 200g'.","attribute_extraction"
"From the product description 'Nike Air Max 270 Men's Shoes, Size 10, White/Black', extract the shoe size and color.","attribute_extraction"
"Identify the fabric type and thread count from 'Egyptian Cotton Bedsheet Set, 1000 Thread Count'.","attribute_extraction"
"Extract the number of pages and author from 'Harry Potter and the Sorcerer's Stone by J.K. Rowling, 320 pages'.","attribute_extraction"
"From 'Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens', extract the camera model and included lens.","attribute_extraction"
"Identify the protein content and flavor from 'Optimum Nutrition Gold Standard Whey Protein Powder, Double Rich Chocolate, 5 lbs'.","attribute_extraction"
"Extract the language and region compatibility from 'The Legend of Zelda: Breath of the Wild (Nintendo Switch, US Version)'.","attribute_extraction"
"From 'Herschel Little America Backpack, Navy, 25L Capacity', extract the color and capacity.","attribute_extraction"
"Identify the processor speed and graphics card from 'ASUS ROG Strix Gaming Desktop, Intel Core i9, NVIDIA RTX 3080'.","attribute_extraction"
