SKU,GTIN,Product_Type,Title,Short_Description,Long_Description
8T1NK54G,72701716671673,Jeans,Classic Fit Denim Jeans,"Durable denim jeans suitable for everyday wear.","Crafted from high-quality denim, these classic-fit jeans offer both comfort and style. They are versatile enough to be worn casually or dressed up for semi-formal occasions."
XSJOXOJQ,50292068472248,Pants,Slim Fit Chino Pants,"Comfortable and stylish pants for any occasion.","These slim-fit chinos are made from a stretch cotton blend for extra comfort. Ideal for work, travel, or a night out, they offer a refined look that’s perfect for smart-casual settings."
VV3NHP6D,35282394252928,T-Shirts,Cotton Crew Neck T-Shirt,"Soft cotton t-shirt ideal for everyday use.","This crew neck t-shirt is made from 100% soft cotton, providing breathable comfort all day long. Perfect for layering or wearing alone, it’s a go-to piece for any casual outfit."
9O2THIEN,19637124959400,Casual & Dress Shoes,Oxford Leather Shoes,"Classic and stylish footwear, ideal for both casual and formal occasions.","Crafted with premium leather, these oxford shoes offer a sleek design and durable build. Ideal for office wear or social events, they blend style with comfort."
NVF5JOWH,98009049898670,Sweatshirts & Hoodies,Cozy Fleece Hoodie,"Cozy and comfortable sweatshirt, perfect for casual wear.","Stay warm and stylish with this fleece-lined hoodie, designed for both comfort and function. The relaxed fit and soft fabric make it a perfect choice for layering on cool days."
VADDSFM1,11987462666634,Sweatshirts & Hoodies,Zipped Fleece Hoodie,"Soft and versatile hoodie with zipper, great for layering.","This zip-up hoodie is crafted from soft fleece material, offering warmth without bulk. Perfect for gym wear or casual outings, it’s a staple for cooler weather."
AN8K2HJZ,13257368231872,Jeans,Relaxed Fit Denim Jeans,"Durable denim jeans ideal for everyday wear.","With a relaxed fit, these jeans offer ease of movement and comfort. Made from durable denim, they’re perfect for casual outings and rugged enough for daily wear."
5RXYQW0P,80343074142456,Casual & Dress Shoes,Slip-On Loafers,"Comfortable slip-on loafers, ideal for both casual and semi-formal settings.","These loafers feature a soft leather upper and cushioned insole for all-day wearability. Ideal for on-the-go individuals, they slip on easily and provide a polished look."
T9GYJRL1,51266369445606,Sweatshirts & Hoodies,Pullover Hoodie,"Comfortable pullover hoodie for everyday wear.","This hoodie offers a relaxed fit and is made from breathable fabric. Great for lounging or outdoor activities, it’s a versatile addition to any wardrobe."
I4ZTQLFM,74740892189317,T-Shirts,V-Neck Cotton T-Shirt,"Comfortable and versatile t-shirt with a v-neck design.","Made from soft, lightweight cotton, this v-neck t-shirt provides a classic look that pairs well with jeans, shorts, or casual pants. A must-have for any wardrobe."
