SKU,GTIN,Task,llama-3.2-3B-gguf,openai-gpt-4o-mini
NVF5JOWH,98009049898670,title_enhancement,"Champion Men's Slim Fit Long Sleeve Sweatshirt, Gray","Cozy Unisex [Sweatshirt], Perfect for Casual Wear"
0V5ISDSG,43357679141462,title_enhancement,"Champion Men's Grey Hoodie, One Size","Cozy Unisex [Sweatshirt], Perfect for Casual Wear"
H6BQ7ENS,30421833517505,title_enhancement,"H6BQ7ENS Soft Cotton T-Shirt for Men, Unisex","Unisex Soft Cotton [T-Shirt], White"
VADDSFM1,11987462666634,title_enhancement,"Champion Unisex Hoodie, Black, XS-XXXL","VADDSFM1 Unisex Cozy [Sweatshirt], Casual Style"
U74RBFZL,45547693493840,title_enhancement,"Wrangler Men's Relaxed Fit Straight Leg Jeans, Blue, Black","Durable Unisex Classic Fit [Jeans], Blue"
BRI5DTUF,77167258677439,title_enhancement,Bri5dtuf Men's Soft Cotton T-Shirt,"BRI5DTUF Unisex Soft Cotton [T-Shirt], Gray"
AN8K2HJZ,13257368231872,title_enhancement,"Lee Men's Durable Denim Jeans, Black, Set of 1, XS-L","Durable Unisex Classic Fit [Jeans], Blue"
7DHYUVTY,52020415154872,title_enhancement,"Lee Men's Slim Fit Jeans, Blue","Durable Unisex Classic Fit [Jeans], Blue"
URMCLHXM,44365150296649,title_enhancement,NA,"URMCLHXM Unisex Soft Cotton [T-Shirt], Gray"
8T1NK54G,72701716671673,title_enhancement,"Lee Jeans - 8T1NK54G, Kids Stretch Skinny Fit Mid-Rise Dark Wash, Men's, Durable Denim, Blue","Durable Kids Classic Fit [Jeans], Blue"
5RXYQW0P,80343074142456,title_enhancement,"5RXYQW0P - Men's & Women's Unisex Casual & Dress Oxford Shoe, Black, Wide & Cap Toe, Low Heel Style","Unisex Casual & Dress Shoe, Classic Style, Comfortable Fit, Black"
BQ9O9BPV,12786298744429,title_enhancement,"Disney by Nike Kids Athletic Stretch Slim Fit [Pants], Blue/White, Sizes XS-XXL, Set","Comfort Brand Unisex Comfortable Stylish [Pants], Black"
3WR6IOG2,54305886089733,title_enhancement,"Soft Cotton Men's T-Shirt, Blue","Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use"
XSJOXOJQ,50292068472248,title_enhancement,"Lee Unisex Comfortable and Stylish Pants, XS-XXL, Khaki","Comfort Brand Unisex Comfortable Stylish [Pants], Black"
T9GYJRL1,51266369445606,title_enhancement,"Champion Women's Sweatshirts, Comfortable & Cozy Casual Wear, Various Sizes XS-XXXL","Cozy Unisex [Sweatshirt], Perfect for Casual Wear"
AHBF6QKQ,78093314832609,title_enhancement,"AHBF6QKQ Durable Denim Jeans, Unisex, Everyday Wear","Durable Unisex Classic Fit [Jeans], Blue"
BBGF6DEK,99414953072613,title_enhancement,"Soft Cotton T-Shirt by Men's, Black, 3-Pack","Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use"
VV3NHP6D,35282394252928,title_enhancement,NA,"Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use"
I4ZTQLFM,74740892189317,title_enhancement,"Soft Cotton Casual T-Shirt, Men's","Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use"
24OCJ9RX,15716566806243,title_enhancement,"Levi's Kids Stretch Skinny Fit Mid-Rise [Jeans], 24OCJ9RX, Durable Denim Jeans for Everyday Wear","Durable Unisex Classic Fit [Jeans], Blue"
N9VTETE8,39465700865457,title_enhancement,"Soft Cotton Men's T-Shirt, Red","Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use"
9O2THIEN,19637124959400,title_enhancement,"9O2THIEN Men's Casual & Dress Oxford Shoe, Wide & Cap Toe, Black, Size 10-12","Unisex Casual & Dress Shoe, Classic Style, Comfortable Fit, Black, Size 10"
Q8949GNO,44800124083109,title_enhancement,"Q8949GNO Casual & Dress Shoes - Classic and Stylish Footwear for Men, Women, and Unisex, Black, Wide & Low Heel Style, Round Toe","Unisex Casual & Dress Shoe, Classic & Stylish, Low Heel, Round Toe, Black"
Z5GFFWLT,27826988696646,title_enhancement,"Clarks Unisex Derby Shoe, Waterproof & Lightweight, Black","Unisex Casual & Dress Shoe, Classic Style, Comfortable Fit, Black"
LSD6ZL5L,14357084613538,title_enhancement,"Champion Unisex Sweatshirt, Gray","Unisex Cozy [Sweatshirt], Gray"
