SKU,GTIN,Task,Model_1,Response_1,Model_2,Response_2,Similarity_Score
NVF5JOWH,98009049898670,title_enhancement,openai-gpt-4o-mini,"Cozy Unisex [Sweatshirt], Perfect for Casual Wear",llama-3.2-3B-gguf,"Champion Men's Slim Fit Long Sleeve Sweatshirt, Gray",0.60935378074646
0V5ISDSG,43357679141462,title_enhancement,openai-gpt-4o-mini,"Cozy Unisex [Sweatshirt], Perfect for Casual Wear",llama-3.2-3B-gguf,"Champion Men's Grey Hoodie, One Size",0.5498048663139343
H6BQ7ENS,30421833517505,title_enhancement,openai-gpt-4o-mini,"Unisex Soft Cotton [T-Shirt], White",llama-3.2-3B-gguf,"H6BQ7ENS Soft Cotton T-Shirt for Men, Unisex",0.8268792629241943
VADDSFM1,11987462666634,title_enhancement,openai-gpt-4o-mini,"VADDSFM1 Unisex Cozy [Sweatshirt], Casual Style",llama-3.2-3B-gguf,"Champion Unisex Hoodie, Black, XS-XXXL",0.6810324192047119
U74RBFZL,45547693493840,title_enhancement,openai-gpt-4o-mini,"Durable Unisex Classic Fit [Jeans], Blue",llama-3.2-3B-gguf,"Wrangler Men's Relaxed Fit Straight Leg Jeans, Blue, Black",0.6467640995979309
BRI5DTUF,77167258677439,title_enhancement,openai-gpt-4o-mini,"BRI5DTUF Unisex Soft Cotton [T-Shirt], Gray",llama-3.2-3B-gguf,Bri5dtuf Men's Soft Cotton T-Shirt,0.8860427141189575
AN8K2HJZ,13257368231872,title_enhancement,openai-gpt-4o-mini,"Durable Unisex Classic Fit [Jeans], Blue",llama-3.2-3B-gguf,"Lee Men's Durable Denim Jeans, Black, Set of 1, XS-L",0.6957677602767944
7DHYUVTY,52020415154872,title_enhancement,openai-gpt-4o-mini,"Durable Unisex Classic Fit [Jeans], Blue",llama-3.2-3B-gguf,"Lee Men's Slim Fit Jeans, Blue",0.7059726119041443
8T1NK54G,72701716671673,title_enhancement,openai-gpt-4o-mini,"Durable Kids Classic Fit [Jeans], Blue",llama-3.2-3B-gguf,"Lee Jeans - 8T1NK54G, Kids Stretch Skinny Fit Mid-Rise Dark Wash, Men's, Durable Denim, Blue",0.7355892658233643
5RXYQW0P,80343074142456,title_enhancement,openai-gpt-4o-mini,"Unisex Casual & Dress Shoe, Classic Style, Comfortable Fit, Black",llama-3.2-3B-gguf,"5RXYQW0P - Men's & Women's Unisex Casual & Dress Oxford Shoe, Black, Wide & Cap Toe, Low Heel Style",0.7764073610305786
