SKU,GTIN,Task,openai,gemini
8T1NK54G,72701716671673,title_enhancement,"Durable Kids Classic Fit [Jeans], Blue","Durable Denim Kids [Jeans], Blue"
XSJOXOJQ,50292068472248,title_enhancement,"Stylish Unisex Comfortable [Pants], Black","Brand Unisex [Pants], [Color]"
VV3NHP6D,35282394252928,title_enhancement,"Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use","Men's Cotton Crew Neck Short Sleeve [T-Shirt], White"
9O2THIEN,19637124959400,title_enhancement,"Unisex Casual & Dress Shoe, Classic Style, Comfortable Fit, Black, Size 9","Casual & Dress Shoes, Classic & Stylish Footwear"
NVF5JOWH,98009049898670,title_enhancement,"Cozy Unisex [Sweatshirt], Perfect for Casual Wear","Cozy & Comfortable Sweatshirt, Black"
VADDSFM1,11987462666634,title_enhancement,"VADDSFM1 Unisex Cozy [Sweatshirt], Perfect for Casual Wear","Cozy & Comfortable [Sweatshirt], Black"
AN8K2HJZ,13257368231872,title_enhancement,"Durable Unisex Classic Fit [Jeans], Blue","Brand Kids Classic Fit [Jeans], Blue"
5RXYQW0P,80343074142456,title_enhancement,"Unisex Casual & Dress Shoe, Classic Style, Comfortable Fit, Black, Size 10","Unisex Casual & Dress Oxford Shoe, Round Toe, Black"
T9GYJRL1,51266369445606,title_enhancement,"Cozy Unisex [Sweatshirt], Perfect for Casual Wear","Cozy & Comfortable [Sweatshirt], Black"
I4ZTQLFM,74740892189317,title_enhancement,"Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use","Men's Cotton Crew Neck Short Sleeve [T-Shirt], White"
Q8949GNO,44800124083109,title_enhancement,"Unisex Casual & Dress Shoe, Classic Style, Comfortable Fit, Black, Size 10","Men's Casual & Dress Oxford Shoe, Black"
0V5ISDSG,43357679141462,title_enhancement,"Cozy Unisex [Sweatshirt], Perfect for Casual Wear","Cozy & Comfortable Sweatshirt, Casual Wear"
U74RBFZL,45547693493840,title_enhancement,"Durable Denim Unisex Classic Fit [Jeans], Blue","Brand Kids Classic Fit [Jeans], Blue"
7DHYUVTY,52020415154872,title_enhancement,"Durable Denim Unisex Classic Fit [Jeans], Blue","Durable Denim [Jeans], Blue"
BQ9O9BPV,12786298744429,title_enhancement,"Comfortable Unisex Casual [Pants], Black","Brand Unisex [Pants], [Color]"
AHBF6QKQ,78093314832609,title_enhancement,"Durable Unisex Classic Fit [Jeans], Blue","Brand Kids Classic Fit [Jeans], Blue"
24OCJ9RX,15716566806243,title_enhancement,"Durable Denim Unisex Classic Fit [Jeans], Blue","Brand Clothing Size Group [Jeans], Color"
Z5GFFWLT,27826988696646,title_enhancement,"Unisex Casual & Dress Shoe, Classic Style, Comfortable Fit, Black","Men's Casual & Dress Oxford Shoe, Round Toe, Black"
H6BQ7ENS,30421833517505,title_enhancement,"Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use",NA
BRI5DTUF,77167258677439,title_enhancement,"BRI5DTUF Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use",NA
URMCLHXM,44365150296649,title_enhancement,"URMCLHXM Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use",NA
3WR6IOG2,54305886089733,title_enhancement,"Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use, Gray",NA
BBGF6DEK,99414953072613,title_enhancement,"Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use",NA
N9VTETE8,39465700865457,title_enhancement,"Unisex Soft Cotton [T-Shirt], Ideal for Everyday Use",NA
LSD6ZL5L,14357084613538,title_enhancement,"Cozy Unisex [Sweatshirt], Perfect for Casual Wear",NA
